world,number,name,level,course
37,14-1,Missed Highway,226,15
37,14-2,Invisible Temple,227,25
37,14-3,Misty Corridor,226,12
37,14-4,Turmoil Territory,229,7
37,14-5,Disappearance Path,230,5
37,14-6,Gazelle Channel,229,27
37,14-7,High-Roller Complex,228,20
37,14-8,Steadfast Road,226,9
38,15-1,Aerohead Road,235,28
38,15-2,Sedentary Swamp,235,8
38,15-3,Condensation Corridor,235,1
38,15-4,Hot Spot,236,29
38,15-5,Upper Road,232,21
38,15-6,Lower Road,232,30
38,15-7,North Road,233,31
38,15-8,South Road,233,13
39,16-1,Wingflap Falls,238,32
39,16-2,Flyover Pass,238,26
39,16-3,Scramble Wasteland,239,33
39,16-4,Flutterpeak Pass,241,24
39,16-5,Piston-Pump Rail,241,27
39,16-6,Pushover Corridor,242,19
39,16-7,Perseverance Valley,242,22
40,17-1,Hamstring Marsh,243,2
40,17-2,Sweat Street,244,11
40,17-3,Hangon Bridge,246,31
40,17-4,Inside Strait,244,14
40,17-5,Backways Path,245,27
41,18-1,Shivering Valley,248,30
41,18-2,Rail to the Chief,249,23
41,18-3,Freezing Freeway,249,22
41,18-4,Wintry Watchtower,248,29
41,18-5,Snowflurry Valley,249,26
42,19-1,Ohohwan River,251,10
42,19-2,Wanoh Hills,252,5
42,19-3,Ohwanoh Factory,253,25
42,19-4,Ohoh Valley,254,32
42,19-5,Ohwanwan Route,254,3
42,19-6,Wanohwanoh Way,256,28
42,19-7,Ohohoh Tower,256,17
43,20-1,Howling Hollow,259,24
43,20-2,Swift Spire,262,6
43,20-3,Hang-Tough Temple,259,31
43,20-4,Glowskin Ridge,260,4
43,20-5,Bolthole Tunnel,260,18
43,20-6,Marathon Field,261,33
44,21-1,Jog-On Bog,263,8
44,21-2,Ribcage Peak,264,0
44,21-3,Whirling Halls,265,13
44,21-4,Soaring Valley,267,30
44,21-5,Rear Byway,267,23
44,21-6,Inner Byway,267,12
45,22-1,Exercise Paradise,270,33
45,22-2,Uplift Temple,270,29
45,22-3,Gunsho Temple,270,19
45,22-4,Perspiration Paradise,272,28
45,22-5,Slab Paradise,272,27
45,22-6,Six-Peak Temple,273,25
45,22-7,Calm Cloister,273,9
45,22-8,Judgment Pass,274,26
45,22-9,Yogana,275,11
46,23-1,Last Lookout,278,31
46,23-2,Closing Coaster,279,16
46,23-3,Hindmost Highway,278,24
46,23-4,Irrevocable River,279,10
46,23-5,Ultimate Hollow,280,30
