world,stage,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5
45,22-9,Matcha Powder,Vanilla Ice Cream,Kale,Fig,Peach
46,23-1,Chard,Basil,Mandarin Orange,Wheatgrass,Bananas
46,23-2,Ashitaba,Pink Grapefruit,Cress,Tomato,Lemon
46,23-3,Arugula,Spinach,Kale,Blueberries,Papaya
46,23-4,Chard,Basil,Pink Grapefruit,Vanilla Ice Cream,Ashitaba
46,23-5,Wheatgrass,Pink Grapefruit,Cress,Fig,Pineapple
47,1-1,Spinach,Bananas,Tomato,Lemon,Blueberries
47,1-2,Matcha Powder,Basil,Ashitaba,Fig,Peach
48,2-1,Chard,Basil,Wheatgrass,Vanilla Ice Cream,Ashitaba
48,2-2,Spinach,Bananas,Tomato,Basil,Blueberries
48,2-3,Grapes,Blueberries,Chard,Black Currants,Prunes
49,3-1,Cranberries,Ashitaba,Cinnamon,Lemongrass,Strawberries
49,3-2,Matcha Powder,Vanilla Ice Cream,Ashitaba,Fig,Peach
49,3-3,Milk,Green Tea Leaves,Carbonated Water,Onion,Cress
49,3-4,Kiwi,Pear,Avocado,Celery,Lettuce
50,4-1,Kale,Strawberries,Milk,White Sesame Seeds,Gelatin
50,4-2,Grapes,Green Tea Leaves,Bananas,Chard,Strawberries
50,4-3,Basil,Raspberries,Milk,White Sesame Seeds,Gelatin
50,4-4,Grapes,Green Tea Leaves,Bananas,Wheatgrass,Strawberries
50,4-5,Ashitaba,Raspberries,Milk,White Sesame Seeds,Gelatin
50,4-6,Grapes,Green Tea Leaves,Bananas,Cress,Raspberries
51,5-1,Arugula,Fennel,Pomegranate,Apple,Onion
51,5-2,Milk,Carrot,Spinach,Bananas,Green Tea Leaves
51,5-3,Lemon,Tomato,Fennel,Apple,White Sesame Seeds
51,5-4,Kale,Carrot,Strawberries,Grapes,Gelatin
51,5-5,Lemon,Fennel,Pomegranate,Apple,Onion
51,5-6,Chard,Carrot,Raspberries,Black Currants,Milk
51,5-7,Wheatgrass,Vine Spinach,Pomegranate,Fennel,Onion
51,5-8,Carbonated Water,Ashitaba,Strawberries,Bananas,Green Tea Leaves
53,7-1,Milk,Grapes,Carrot,Cress,Onion
53,7-2,Pumpkin,Soy Milk,Black Currants,Blueberries,Prunes
53,7-3,Raisins,Watermelon,Soy Milk,Vine Spinach,Arugula
54,8-1,Bananas,Carbonated Water,Grapes,Yogurt,Spinach
54,8-2,Vinegar,Honey,Apricot,Milk,Black Currants
54,8-3,Soy Milk,Yogurt,Vine Spinach,Blueberries,Kale
54,8-4,Vinegar,Grapes,Apricot,Carrot,Chard
54,8-5,Bananas,Carbonated Water,Apple,Black Currants,Basil
54,8-6,Vinegar,Honey,Vine Spinach,Onion,Pumpkin
55,9-1,Bananas,Wheatgrass,Guava,Yogurt,Honey
55,9-2,Mango,Papaya,Chia Seeds,Strawberries,Carbonated Water
55,9-3,Fennel,Ashitaba,Cherries,Raspberries,Papaya
55,9-4,Mango,Papaya,Chia Seeds,Orange,Strawberries
55,9-5,Raspberries,Cress,Peach,Lemon,Honey
55,9-6,Mango,Papaya,Chia Seeds,Orange,Fennel
56,10-1,Milk,Green Tea Leaves,Carbonated Water,Onion,Arugula
56,10-2,Lemon,Matcha Powder,Vanilla Ice Cream,Melon,Beefsteak Plant
57,11-1,Beefsteak Plant,Spinach,Tatsoi,Melon,Mango
57,11-2,Chard,Basil,Mint,Asparagus,Green Tea Leaves
57,11-3,Carbonated Water,Kale,Lime,Cocoa,Mango
57,11-4,Wheatgrass,Tatsoi,Mint,Asparagus,Green Tea Leaves
57,11-5,Beefsteak Plant,Ashitaba,Lime,Vinegar,Mango
57,11-6,Cress,Arugula,Mango,Asparagus,Beefsteak Plant
57,11-7,Beefsteak Plant,Spinach,Soy Milk,Vinegar,Mango
58,12-1,Milk,Pomegranate,Tatsoi,Blueberries,Apricot
58,12-2,Green Tea Leaves,Almond Milk,Sugar,Kefir Grains,Cocoa
58,12-3,Hojicha Leaves,Watermelon,Kale,Lime,Honey
58,12-4,Milk,Tatsoi,Yogurt,Blueberries,Apricot
58,12-5,Orange,Almond Milk,Green Tea Leaves,Bananas,Cocoa
58,12-6,Lime,Guava,Chard,Basil,Mint
60,14-1,Spinach,Bananas,Wheatgrass,Ashitaba,Dragon Fruit
60,14-2,Milk,Soy Milk,Honey,Tatsoi,Caramel
60,14-3,Coffee Beans,Apricot,Corn,Pineapple,Grapefruit
60,14-4,Cinnamon,Fig,Ashitaba,Bananas,Cress
60,14-5,Arugula,Dragon Fruit,Honey,Soy Milk,Black Tea Leaves
60,14-6,Cabbage,Caramel,Coffee Beans,Cherries,Corn
60,14-7,Pineapple,Grapefruit,Apricot,Ginger,Spinach
60,14-8,Bananas,Kale,Chard,Dragon Fruit,Milk
61,15-1,Honey,Black Tea Leaves,Cabbage,Caramel,Coffee Beans
61,15-2,Bananas,Apricot,Vanilla Ice Cream,Black Tea Leaves,Basil
61,15-3,Cinnamon,Peach,Ginger,Persimmon,Lemongrass
61,15-4,Pineapple,Persimmon,Apricot,Black Tea Leaves,Wheatgrass
61,15-5,Soy Milk,Honey,Cabbage,Caramel,Coffee Beans
61,15-6,Bananas,Apricot,Vanilla Ice Cream,Black Tea Leaves,Coffee Beans
61,15-7,Ashitaba,Pineapple,Ginger,Persimmon,Lemongrass
61,15-8,Watermelon,Milk,Soy Milk,Black Tea Leaves,Cabbage
62,16-1,Soy Milk,Cress,Prunes,Cranberries,Black Tea Leaves
62,16-2,Cinnamon,Black Currants,Radicchio,Lavender,Bananas
62,16-3,Soy Milk,Blueberries,Arugula,Grapes,Black Tea Leaves
62,16-4,Cinnamon,Black Currants,Radicchio,Guava,Bananas
62,16-5,Soy Milk,Spinach,Prunes,Vine Spinach,Black Tea Leaves
62,16-6,Cinnamon,Grapes,Radicchio,Lavender,Bananas
62,16-7,Soy Milk,Blueberries,Vine Spinach,Kale,Black Tea Leaves
63,17-1,Grapes,Chard,Raisins,Vanilla Ice Cream,Black Currants
63,17-2,Persimmon,Vine Spinach,Cherries,Radicchio,Basil
63,17-3,Grapes,Blueberries,Raisins,Black Currants,Prunes
63,17-4,Black Tea Leaves,Wheatgrass,Lemongrass,Radicchio,Vine Spinach
63,17-5,Grapes,Blueberries,Ashitaba,Vanilla Ice Cream,Cranberries
64,18-1,Strawberries,Onion,Apple,Cream Cheese,Vinegar
64,18-2,Sugar,Cress,Vine Spinach,Raspberries,Carrot
64,18-3,Cream Cheese,Fennel,Peach,Plum,Grapes
64,18-4,Strawberries,Onion,Cream Cheese,Tomato,Arugula
64,18-5,Sugar,Fennel,Blood Orange,Cocoa,Spinach
65,19-1,Strawberries,Fennel,Pomegranate,Raspberries,Vanilla Ice Cream
65,19-2,Cranberries,Black Tea Leaves,Cinnamon,Lemongrass,Strawberries
65,19-3,Strawberries,Apple,Raspberries,Watermelon,Kale
65,19-4,Chard,Lemon,Blueberries,Persimmon,Pomegranate
65,19-5,Lemon,Yogurt,Fennel,Guava,Blueberries
65,19-6,Cranberries,Basil,Cinnamon,Lemongrass,Strawberries
65,19-7,Fennel,Apple,Pomegranate,Tomato,Vanilla Ice Cream
66,20-1,Milk,Raspberries,Wheatgrass,Cinnamon,Persimmon
66,20-2,Kiwi,Pear,Green Tea Leaves,Celery,Lettuce
66,20-3,Lime,Tatsoi,Apple,Cinnamon,Tomato
66,20-4,Milk,Lettuce,Ashitaba,Cherries,Green Tea Leaves
66,20-5,Kiwi,Pear,Avocado,Cocoa,Lettuce
66,20-6,Lime,Tatsoi,Orange,Cinnamon,Papaya
67,21-1,Peach,Kiwi,Milk,Apple,Cress
67,21-2,Pear,Arugula,Celery,Lettuce,Lime
67,21-3,Watermelon,Vanilla Ice Cream,Milk,Black Tea Leaves,Spinach
67,21-4,Pear,Avocado,Persimmon,Lettuce,Lime
67,21-5,Guava,Cinnamon,Lemongrass,Apple,Kale
67,21-6,Pear,Avocado,Chard,Black Tea Leaves,Lime
68,22-1,Basil,Bananas,Tomato,Lemon,Blueberries
68,22-2,Matcha Powder,Vanilla Ice Cream,Wheatgrass,Fig,Pineapple
68,22-3,Grapefruit,Radicchio,Lavender,Mandarin Orange,Cherries
68,22-4,Ashitaba,Papaya,Tomato,Pineapple,Blueberries
68,22-5,Matcha Powder,Parsley,Cress,Fig,Mandarin Orange
68,22-6,Cocoa,Vanilla Ice Cream,Papaya,Fig,Lavender
68,22-7,Arugula,Pineapple,Tomato,Mandarin Orange,Blueberries
68,22-8,Matcha Powder,Blueberries,Spinach,Papaya,Pineapple
68,22-9,Matcha Powder,Vanilla Ice Cream,Kale,Fig,Peach
69,23-1,Chard,Basil,Mandarin Orange,Wheatgrass,Bananas
69,23-2,Ashitaba,Pink Grapefruit,Cress,Tomato,Lemon
69,23-3,Arugula,Spinach,Kale,Blueberries,Papaya
69,23-4,Chard,Basil,Pink Grapefruit,Vanilla Ice Cream,Ashitaba
69,23-5,Wheatgrass,Pink Grapefruit,Cress,Fig,Pineapple
